wordle_id,year,month,date,n_players,n_hard_mode,percent_1,percent_2,percent_3,percent_4,percent_5,percent_6,percent_fail,answer
299,2022,4,14,113448,7356,0,6,24,35,24,10,1,mince
300,2022,4,15,129991,8522,1,11,22,25,21,15,5,shame
301,2022,4,16,107987,7035,0,3,19,40,28,9,1,cheek
302,2022,4,17,106081,7008,0,4,20,35,27,11,2,ample
303,2022,4,18,112383,7341,1,8,30,36,18,6,1,flair
304,2022,4,19,108899,8198,0,2,10,19,19,23,26,foyer
305,2022,4,20,102007,6796,0,5,20,34,27,12,2,cargo
306,2022,4,21,97955,6960,0,2,11,30,33,21,4,oxide
307,2022,4,22,119232,7731,2,19,39,28,10,3,0,plant
308,2022,4,23,95562,6482,1,6,25,34,23,10,1,olive
309,2022,4,24,97452,6743,0,7,27,34,22,9,1,inert
310,2022,4,25,91548,6549,0,3,13,29,32,19,4,askew
311,2022,4,26,103153,6830,1,13,32,31,16,6,1,heist
312,2022,4,27,98967,6564,0,6,26,36,22,8,1,shown
313,2022,4,28,88974,6315,0,2,12,27,30,22,7,zesty
314,2022,4,29,106652,7001,2,19,34,27,13,4,1,trash
315,2022,4,30,77991,5749,0,2,10,25,35,23,4,larva
316,2022,5,1,77658,5699,0,1,9,26,37,23,3,forgo
317,2022,5,2,95643,6530,1,10,23,29,24,11,2,story
318,2022,5,3,85817,5941,1,8,24,33,23,10,1,hairy
319,2022,5,4,107750,7243,6,26,32,22,10,3,0,train
320,2022,5,5,85979,6313,0,3,16,26,24,19,12,homer
321,2022,5,6,76292,5482,0,4,20,35,26,12,2,badge
322,2022,5,7,74458,5233,0,3,25,39,24,9,1,midst
323,2022,5,8,72518,5256,0,2,10,30,34,20,4,canny
324,2022,5,9,88932,6146,1,14,32,30,17,6,1,shine
325,2022,5,10,74412,5489,0,2,16,38,29,12,2,gecko
326,2022,5,11,79446,5688,0,9,26,32,21,9,1,farce
327,2022,5,12,75673,5419,0,2,16,37,31,13,2,slung
328,2022,5,13,77585,5522,0,6,33,38,17,5,1,tipsy
329,2022,5,14,73225,5290,1,10,31,34,18,7,1,metal
330,2022,5,15,67115,4963,0,4,16,29,29,18,4,yield
331,2022,5,16,68349,5179,0,2,14,32,33,16,2,delve
332,2022,5,17,70722,5142,0,4,22,37,26,10,1,being
333,2022,5,18,73933,5544,0,8,34,35,17,5,1,scour
334,2022,5,19,70920,5162,0,4,19,33,27,14,3,glass
335,2022,5,20,69884,5238,1,4,17,28,26,18,6,gamer
336,2022,5,21,66814,4973,1,9,28,34,20,8,1,scrap
337,2022,5,22,67909,4928,1,7,26,36,21,8,1,money
338,2022,5,23,66431,4906,0,5,25,37,22,9,2,hinge
339,2022,5,24,63380,4809,0,5,26,35,24,9,1,album
340,2022,5,25,62723,4835,0,2,9,25,33,24,6,vouch
341,2022,5,26,63188,4733,0,7,28,34,21,8,1,asset
342,2022,5,27,63846,4842,0,8,36,33,17,6,1,tiara
343,2022,5,28,60069,4562,0,4,27,38,22,7,1,crept
344,2022,5,29,56839,4435,0,6,17,33,29,13,2,bayou
345,2022,5,30,60969,4741,0,6,28,36,21,8,1,atoll
346,2022,5,31,62768,4802,0,6,27,34,21,10,2,manor
347,2022,6,1,63241,4797,0,5,21,32,25,14,3,creak
348,2022,6,2,61278,4770,0,2,16,37,30,13,2,showy
349,2022,6,3,65431,4957,1,13,38,32,13,3,0,phase
350,2022,6,4,58263,4432,0,5,22,35,25,11,1,froth
351,2022,6,5,56738,4329,0,6,28,39,20,6,1,depth
352,2022,6,6,58478,4548,0,2,14,35,35,13,1,gloom
353,2022,6,7,58991,4440,0,3,20,40,28,8,1,flood
354,2022,6,8,61026,4607,0,6,22,35,24,11,2,trait
355,2022,6,9,60020,4665,0,6,23,33,23,12,3,girth
356,2022,6,10,55376,4324,0,4,25,41,22,7,1,piety
357,2022,6,11,51958,4087,0,2,12,28,32,21,5,goose
358,2022,6,12,56684,4323,1,12,30,32,18,6,1,float
359,2022,6,13,53802,4142,0,3,27,38,23,7,1,donor
360,2022,6,14,59968,4762,2,16,34,29,14,4,1,atone
361,2022,6,15,55989,4391,0,3,22,38,25,10,2,primo
362,2022,6,16,53430,4112,0,7,30,38,19,5,1,apron
363,2022,6,17,54665,4251,0,6,23,35,26,10,1,blown
364,2022,6,18,47205,4101,0,1,9,27,36,23,4,cacao
365,2022,6,19,55359,4399,1,10,28,32,19,8,2,loser
366,2022,6,20,50484,3950,0,5,30,38,21,6,1,input
367,2022,6,21,53342,4194,0,8,21,31,26,12,2,gloat
368,2022,6,22,47645,3861,0,5,21,33,27,12,2,awful
369,2022,6,23,53111,4118,0,4,22,41,24,7,1,brink
370,2022,6,24,50617,3991,0,6,23,35,24,11,2,smite
371,2022,6,25,46089,3670,0,3,19,39,29,10,1,beady
372,2022,6,26,50540,3954,0,9,37,34,13,5,1,rusty
373,2022,6,27,47986,3848,0,6,24,35,24,9,1,retro
374,2022,6,28,47312,3844,0,2,16,31,31,17,3,droll
375,2022,6,29,45645,3957,0,1,5,22,33,28,10,gawky
376,2022,6,30,44212,3758,0,1,12,28,28,21,9,hutch
377,2022,7,1,47248,3792,0,5,25,41,22,6,1,pinto
